,Incumplimiento
0,NO SE DETECTO INCUMPLIMIENTO
1,NO SE DETECTO INCUMPLIMIENTO
2,NO SE DETECTO INCUMPLIMIENTO
3,NO SE DETECTO INCUMPLIMIENTO
4,NO SE DETECTO INCUMPLIMIENTO
5,NO SE DETECTO INCUMPLIMIENTO
6,NO SE DETECTO INCUMPLIMIENTO
7,NO SE DETECTO INCUMPLIMIENTO
8,NO SE DETECTO INCUMPLIMIENTO
9,NO SE DETECTO INCUMPLIMIENTO
10,NO SE DETECTO INCUMPLIMIENTO
11,NO SE DETECTO INCUMPLIMIENTO
12,NO SE DETECTO INCUMPLIMIENTO
13,NO SE DETECTO INCUMPLIMIENTO
14,NO SE DETECTO INCUMPLIMIENTO
15,NO SE DETECTO INCUMPLIMIENTO
16,NO SE DETECTO INCUMPLIMIENTO
17,NO SE DETECTO INCUMPLIMIENTO
18,NO SE DETECTO INCUMPLIMIENTO
19,NO SE DETECTO INCUMPLIMIENTO
20,NO SE DETECTO INCUMPLIMIENTO
21,NO SE DETECTO INCUMPLIMIENTO
22,NO SE DETECTO INCUMPLIMIENTO
23,NO SE DETECTO INCUMPLIMIENTO
24,NO SE DETECTO INCUMPLIMIENTO
25,NO SE DETECTO INCUMPLIMIENTO
26,NO SE DETECTO INCUMPLIMIENTO
27,NO SE DETECTO INCUMPLIMIENTO
28,NO SE DETECTO INCUMPLIMIENTO
29,NO SE DETECTO INCUMPLIMIENTO
30,NO SE DETECTO INCUMPLIMIENTO
31,NO SE DETECTO INCUMPLIMIENTO
32,NO SE DETECTO INCUMPLIMIENTO
33,NO SE DETECTO INCUMPLIMIENTO
34,NO SE DETECTO INCUMPLIMIENTO
35,NO SE DETECTO INCUMPLIMIENTO
36,NO SE DETECTO INCUMPLIMIENTO
37,NO SE DETECTO INCUMPLIMIENTO
38,NO SE DETECTO INCUMPLIMIENTO
39,NO SE DETECTO INCUMPLIMIENTO
40,NO SE DETECTO INCUMPLIMIENTO
41,NO SE DETECTO INCUMPLIMIENTO
42,NO SE DETECTO INCUMPLIMIENTO
43,NO SE DETECTO INCUMPLIMIENTO
44,NO SE DETECTO INCUMPLIMIENTO
