id,Producto
0,MUÑECOS
1,ROPA CABALLERO
2,BRANDY
3,BRANDY
4,BRANDY
5,BRANDY
6,ZAPATOS
7,ROPA
8,RON
9,TEQUILA
10,BRANDY
11,BRANDY
12,BRANDY
13,CERVEZA
14,TEQUILA
15,MEZCAL
16,BRANDY
17,TEQUILA
18,MEZCAL
19,BRANDY
20,BEBIDAS
21,SOPA DE PASTA
22,GELATINAS
23,PRODUCTO LACTEO COMBINADO
24,ATUN
25,VELADORAS  Y CERAS
26,FRIJOLES
27,ATUN
28,HUEVO
29,TEQUILA
30,BRANDY
31,WHISKY
32,TEQUILA
33,BRANDY
34,TEQUILA
35,BRANDY
36,TEQUILA
37,BRANDY
38,WHISKY
39,TEQUILA
40,WHISKY
41,BEBIDAS
42,JUGOS
43,TEQUILA
44,BRANDY
45,HUEVO
46,ACEITE COMESTIBLE
47,MEDICAMENTOS
48,LECHE
49,TRAJE DE BAÑO
50,TRAJE DE BAÑO
51,TRAJE DE BAÑO
52,TRAJE DE BAÑO
53,TRAJE DE BAÑO
54,TRAJE DE BAÑO
55,TEQUILA
56,RON
57,TEQUILA
58,CERVEZA
59,BEBIDA ALCOHOLICA
60,BEBIDA ALCOHOLICA
61,TEQUILA
62,CERVEZA
63,BRANDY
64,TEQUILA
65,TEQUILA
66,BRANDY
67,TEQUILA
68,BRANDY
69,TEQUILA REPOSADO
70,CERVEZA
71,TEQUILA
72,CERVEZA
73,TEQUILA
74,CERVEZA
75,TEQUILA
76,CERVEZA
77,TEQUILA
78,CERVEZA
79,TEQUILA
80,BRANDY
81,TEQUILA
82,BRANDY
83,TEQUILA
84,BRANDY
85,TEQUILA
86,CERVEZA
87,BRANDY
88,CERVEZA
89,CERVEZA
90,BRANDY
91,CERVEZA
92,BRANDY
93,TEQUILA
94,BRANDY
95,BRANDY
96,WHISKY
97,BRANDY
98,JUGUETES
99,BRANDY
100,TEQUILA
101,BRANDY
102,ARTICULOS DEL HOGAR
103,WHISKY
104,BRANDY
105,BRANDY
106,ZAPATOS
107,ARTICULOS DE COCINA
108,ARTICULOS DE COCINA
109,CHOCOLATE
110,CERVEZA
111,VEHICULOS
112,RON
113,BRANDY
114,ARROZ
115,VODKA
116,DETERGENTE LIQUIDO
117,ACCESORIOS PARA PIEL Y CALZADO
118,ACCESORIOS PARA PIEL Y CALZADO
119,APARATOS ELECTRONICOS
120,COMPUTADORAS PERSONALES
121,BRANDY
122,CERVEZA
123,CERVEZA
124,ACCESORIOS ELECTRONICOS
125,ACCESORIOS PARA AUTOS
126,APARATOS ELECTRONICOS
127,JOYERIA
128,JOYERIA
129,JOYERIA
130,JOYERIA
131,JOYERIA
132,HERRAMIENTAS
133,HERRAMIENTAS
134,PRODUCTOS ENLATADOS
135,DULCES Y GOLOSINAS
136,MEDICAMENTOS
137,ARTICULOS  DE LIMPIEZA
138,HERRAMIENTAS
139,DULCES Y GOLOSINAS
140,PRODUCTOS ALIMENTICIOS
141,ARTICULOS ESCOLARES
142,MEDICAMENTOS
143,WHISKY
144,TEQUILA
145,ARTICULOS PARA BEBE
146,BEBIDAS
147,DULCES Y GOLOSINAS
148,PRODUCTOS ALIMENTICIOS
149,TEQUILA
150,TEQUILA
151,WHISKY ESCOCES
152,LICOR
153,TEQUILA
154,RON
155,TEQUILA
156,WHISKY ESCOCES
157,WHISKY ESCOCES
158,SUPLEMENTO ALIMENTICIO
159,SUPLEMENTO ALIMENTICIO
160,VODKA
161,PRODUCTOS ALIMENTICIOS
162,ATUN
163,PRODUCTOS ALIMENTICIOS
164,ATUN
165,PRODUCTOS ALIMENTICIOS
166,ATUN
167,PRODUCTOS ALIMENTICIOS
168,ATUN
169,PRODUCTOS ALIMENTICIOS
170,ATUN
171,PRODUCTOS ALIMENTICIOS
172,CERVEZA
173,ATUN
174,ATUN
175,LENCERIA
176,PRESERVATIVOS
177,PRODUCTOS ALIMENTICIOS
178,ATUN
179,PRODUCTOS ALIMENTICIOS
180,PRODUCTOS ALIMENTICIOS
181,PRODUCTOS ALIMENTICIOS
182,ATUN
183,PRODUCTOS ALIMENTICIOS
184,ATUN
185,PAN
186,PRODUCTOS ALIMENTICIOS
187,PRODUCTOS ALIMENTICIOS
188,PRODUCTOS ALIMENTICIOS
189,ATUN
190,PRODUCTOS ALIMENTICIOS
191,ATUN
192,ATUN
193,PRODUCTOS ALIMENTICIOS
194,PRODUCTOS ALIMENTICIOS
195,VINO
196,PRODUCTOS ALIMENTICIOS
197,ATUN
198,PRODUCTOS ALIMENTICIOS
199,PRODUCTOS ALIMENTICIOS
200,PRODUCTOS ALIMENTICIOS
201,PRODUCTOS ALIMENTICIOS
202,PRODUCTOS ALIMENTICIOS
203,LICOR
204,VINO
205,LLANTAS PARA AUTOMOVILES
206,PRENDAS DE VESTIR
207,ZAPATOS
208,TEQUILA
209,WHISKY
210,PRODUCTOS ALIMENTICIOS
211,PRODUCTOS ALIMENTICIOS
212,PRODUCTOS ALIMENTICIOS
213,PRODUCTOS ALIMENTICIOS
214,PRENDAS DE VESTIR
215,ZAPATOS
216,ZAPATOS
217,PRODUCTOS ALIMENTICIOS
218,DULCES Y GOLOSINAS
219,DULCES Y GOLOSINAS
220,DULCES Y GOLOSINAS
221,PRODUCTOS ALIMENTICIOS
222,DULCES Y GOLOSINAS
223,PRODUCTOS ALIMENTICIOS
224,PRODUCTOS ALIMENTICIOS
225,PRODUCTOS ALIMENTICIOS
226,PRODUCTOS ALIMENTICIOS
227,PRODUCTOS ALIMENTICIOS
228,PRODUCTOS ALIMENTICIOS
229,PRODUCTOS ALIMENTICIOS
230,PRODUCTOS ALIMENTICIOS
231,WHISKY ESCOCES
232,PRENDAS DE VESTIR
233,DULCES Y GOLOSINAS
234,DULCES Y GOLOSINAS
235,DULCES Y GOLOSINAS
236,PRENDAS DE VESTIR
237,DULCES Y GOLOSINAS
238,DULCES Y GOLOSINAS
239,DULCES Y GOLOSINAS
240,VINO
241,WHISKY ESCOCES
242,VINO TINTO
243,WHISKY ESCOCES
244,DULCES Y GOLOSINAS
245,PRENDAS DE VESTIR
246,ACCESORIOS DE VESTIR
247,PRODUCTOS ALIMENTICIOS
248,PRODUCTOS ALIMENTICIOS
249,PRODUCTOS ALIMENTICIOS
250,PRODUCTOS ALIMENTICIOS
251,PRODUCTOS ALIMENTICIOS
252,PRODUCTOS ALIMENTICIOS
253,PRODUCTOS ALIMENTICIOS
254,MEDICAMENTOS
255,PRODUCTOS ALIMENTICIOS
256,PRODUCTOS ALIMENTICIOS
257,PRODUCTOS ALIMENTICIOS
258,PRODUCTOS ALIMENTICIOS
259,PRODUCTOS ALIMENTICIOS
260,PRODUCTOS ALIMENTICIOS
261,PRODUCTOS ALIMENTICIOS
262,PRODUCTOS ALIMENTICIOS
263,PRODUCTOS ALIMENTICIOS
264,PRODUCTOS ALIMENTICIOS
265,PRODUCTOS ALIMENTICIOS
266,PRENDAS DE VESTIR
267,PRODUCTOS LACTEOS
268,LLANTAS PARA AUTOMOVILES
269,PRODUCTOS ALIMENTICIOS
270,PRODUCTOS ALIMENTICIOS
271,PRODUCTOS ALIMENTICIOS
272,PRODUCTOS ALIMENTICIOS
273,PRODUCTOS ALIMENTICIOS
274,PRODUCTOS ALIMENTICIOS
275,PRODUCTOS ALIMENTICIOS
276,DULCES Y GOLOSINAS
277,PRODUCTOS ALIMENTICIOS
278,JOYERIA
279,JOYERIA
280,ACCESORIOS P/ TELEFONO CELULAR
281,JOYERIA
282,JOYERIA
283,DULCES Y GOLOSINAS
284,PRODUCTOS ALIMENTICIOS
285,PRODUCTOS ALIMENTICIOS
286,PRODUCTOS ALIMENTICIOS
287,PRODUCTOS ALIMENTICIOS
288,PRODUCTOS ALIMENTICIOS
289,PRODUCTOS ALIMENTICIOS
290,PRODUCTOS ALIMENTICIOS
291,PRODUCTOS ALIMENTICIOS
292,PRODUCTOS ALIMENTICIOS
293,PRODUCTOS ALIMENTICIOS
294,DULCES Y GOLOSINAS
295,PRODUCTOS ALIMENTICIOS
296,DULCES Y GOLOSINAS
297,DULCES Y GOLOSINAS
298,DULCES Y GOLOSINAS
299,ARTICULOS DE PLATA
300,ARTICULOS DE PLATA
301,JOYERIA
302,ARTICULOS DE PLATA
303,ARTICULOS DE PLATA
304,ARTICULOS DE PLATA
305,ARTICULOS DE PLATA
306,ARTICULOS DE PLATA
307,ARTICULOS DE PLATA
308,PRODUCTOS ALIMENTICIOS
309,PRODUCTOS ALIMENTICIOS
310,PRODUCTOS ALIMENTICIOS
311,ARTICULOS DE FERRETERIA
312,PRENDAS DE VESTIR
313,PANTALON
314,BLUSON PARA DAMA
315,PRODUCTOS ALIMENTICIOS
316,PRODUCTOS ALIMENTICIOS
317,PRODUCTOS ALIMENTICIOS
318,PRODUCTOS ALIMENTICIOS
319,PRODUCTOS ALIMENTICIOS
320,PRODUCTOS ALIMENTICIOS
321,CHOCOLATE
322,CHOCOLATE
323,CHOCOLATE
324,CHOCOLATE
325,CHOCOLATE
326,CHOCOLATE
327,CHOCOLATE
328,PRODUCTOS ALIMENTICIOS
329,PRODUCTOS ALIMENTICIOS
330,PRODUCTOS ALIMENTICIOS
331,PRODUCTOS ALIMENTICIOS
332,PRODUCTOS ALIMENTICIOS
333,PRODUCTOS ALIMENTICIOS
334,PRODUCTOS ALIMENTICIOS
335,PRODUCTOS ALIMENTICIOS
336,CHOCOLATE
337,PRODUCTOS ALIMENTICIOS
338,PRODUCTOS ALIMENTICIOS
339,PRODUCTOS ALIMENTICIOS
340,CHOCOLATE
341,CHOCOLATE
342,CHOCOLATE
343,CHOCOLATE
344,CHOCOLATE
345,APARATOS ELECTRICOS
346,PRENDAS DE VESTIR
347,APARATOS ELECTRICOS
348,APARATOS ELECTRICOS
349,APARATOS ELECTRICOS
350,ZAPATOS
351,ZAPATOS
352,ZAPATOS
353,HARINA DE MAIZ
354,CHOCOLATE
355,APARATOS ELECTRICOS
356,PRODUCTOS ALIMENTICIOS
357,PRODUCTOS ALIMENTICIOS
358,PRODUCTOS ALIMENTICIOS
359,BEBIDA ALCOHOLICA PREPARADA
360,BEBIDA ALCOHOLICA PREPARADA
361,BEBIDA ALCOHOLICA PREPARADA
362,BEBIDA ALCOHOLICA PREPARADA
363,BEBIDA ALCOHOLICA PREPARADA
364,CEREALES
365,CHOCOLATE
366,ATUN
367,ATUN
368,ATUN
369,ATUN
370,ATUN
371,ATUN
372,ATUN
373,ATUN
374,ATUN
375,ATUN
376,ATUN
377,ATUN
378,ATUN
379,ATUN
380,ATUN
381,ATUN
382,ATUN
383,ATUN
384,ATUN
385,ATUN
386,ATUN
387,ATUN
388,PRENDAS DE VESTIR
389,ART. DE PERFUMERIA Y BELLEZA
390,PRODUCTOS ALIMENTICIOS
391,PRODUCTOS ALIMENTICIOS
392,PRODUCTOS ALIMENTICIOS
393,PRODUCTOS ALIMENTICIOS
394,PRODUCTOS ALIMENTICIOS
395,PRODUCTOS ALIMENTICIOS
396,MATERIALES P/CONSTRUCCION
397,ARTICULOS DE FERRETERIA
398,PRENDAS DE VESTIR
399,LENTES
400,PRODUCTOS ALIMENTICIOS
401,ARTICULOS PARA REGALO
402,PRENDAS DE VESTIR
403,HERRAMIENTAS
404,PRODUCTOS ALIMENTICIOS
405,PRENDAS DE VESTIR
406,PRENDAS DE VESTIR
407,PRENDAS DE VESTIR
408,PRENDAS DE VESTIR
409,ARTICULOS DE EMBELLECIMIENTO FISICO
410,ZAPATOS
411,ZAPATOS
412,ZAPATOS
