id,Tienda
0,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.
1,C&A DE MEXICO S. DE R.L.
2,ASFEIXAS  S.A. DE C.V.
3,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.
4,MOTEL LUA- COMPAÑIA HOTELERA PESCADORES  S.A. DE C.V.
5,MOTEL PEDRA- PEDRA  S.A. DE C.V.
6,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA
7,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ
8,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.
9,MOTEL LOS ARCOS S.A. DE C.V.
10,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.
11,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.
12,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR
13,VIRREY BUFFETS S.A. DE C.V.
14,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.
15,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.
16,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.
17,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED
18,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED
19,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED
20,CADENA COMERCIAL OXXO  S. A. DE C.V.
21,CADENA COMERCIAL OXXO  S. A. DE C.V.
22,FARMACIA GUADALAJARA  S. A. DE C. V.
23,FARMACIA GUADALAJARA  S. A. DE C. V.
24,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN
25,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN
26,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN
27,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.
28,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV
29,CADENA COMERCIAL OXXO SA DE CV
30,CADENA COMERCIAL OXXO SA DE CV
31,CADENA COMERCIAL OXXO SA DE CV
32,CADENA COMERCIAL OXXO SA DE CV   (COLON)
33,CADENA COMERCIAL OXXO SA DE CV   (COLON)
34,CADENA COMERCIAL OXXO SA DE CV  (MORELOS)
35,CADENA COMERCIAL OXXO SA DE CV  (MORELOS)
36,LA BOMBILLA VINOS SA DE CV
37,LA BOMBILLA VINOS SA DE CV
38,LA BOMBILLA VINOS SA DE CV
39,TIENDAS EXTRA S.A DE C.V
40,TIENDAS EXTRA S.A DE C.V
41,FARMACIAS BENAVIDES S.A.B. DE C.V.
42,FARMACIAS BENAVIDES S.A.B. DE C.V.
43,CADENA COMERCIAL OXXO  S. A. DE C. V.
44,CADENA COMERCIAL OXXO  S. A. DE C. V.
45,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.
46,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.
47,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO
48,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO
49,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.
50,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.
51,SEARS OPERADORA DE MEXICO  S. A. DE C. V.
52,SEARS OPERADORA DE MEXICO  S. A. DE C. V.
53,DISTRIBUIDORA LIVERPOOL  SA DE CV
54,DISTRIBUIDORA LIVERPOOL  SA DE CV
55,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE
56,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE
57,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.
58,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.
59,HARD
60,HARD
61,SANTISIMA- AROB  S.A. DE C.V.
62,SANTISIMA- AROB  S.A. DE C.V.
63,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.
64,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.
65,LA MANSION - RICHYCARLS S.A. DE C.V.
66,LA MANSION - RICHYCARLS S.A. DE C.V.
67,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.
68,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.
69,LA MAJADA-ILIANA RODRIGUEZ GARCIA
70,LA MAJADA-ILIANA RODRIGUEZ GARCIA
71,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.
72,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.
73,EL COSTEÑITO - CANGREJITO PLAYERO S.A. DE C.V.
74,EL COSTEÑITO - CANGREJITO PLAYERO S.A. DE C.V.
75,SAN PANCHO - HUGO SANDOVAL RUVALCABA
76,SAN PANCHO - HUGO SANDOVAL RUVALCABA
77,MANDALA - GRUPO ANTROMEX DE OCCIDENTE
78,MANDALA - GRUPO ANTROMEX DE OCCIDENTE
79,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.
80,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.
81,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA
82,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA
83,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.
84,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.
85,LA ULTIMA LUNA - FRANCISCO PADILLA RAMIREZ
86,LA ULTIMA LUNA - FRANCISCO PADILLA RAMIREZ
87,MICHELADAS GALERIAS - ENRIQUE EDUARDO ROJERO GONZALEZ
88,CSP DE AGUASCALIENTES S.A. DE C.V.
89,FAVELA - JULIO TORRE LOMELI
90,LA CANTINA DE ANTAÑO - JOSE LUIS MAGAÑA GONZALEZ
91,KARNES EN SU JUGO - ALDE ROSA MARTINEZ PEREZ
92,MERENDERO SAN PANCHO - EXQUISIMAR S.A. DE C.V.
93,BURANA
94,LOS RIELES
95,GRUPO PERA DEL CENTRO S.A. DE C.V.
96,SONORA'S MEAT BOUTIQUE DE CORTES FINOS
97,LA MEXICO - CESAR ROBERTO LUEVANO ZARATE
98,DISTRIBUIDORA JUGUETRON  S.A. DE C.V.
99,CARNITAS SAN PANCHO - SIGELFREDO DURAN ESPARZA
100,SINATRA LIVE - MARIOLLA S.A. DE C.V.
101,SINATRA LIVE - MARIOLLA S.A. DE C.V.
102,CROWN BACCARA- ESTHER ZAMORA MENDOZA
103,THAI AGUASCALIENTES  S. DE R.L. DE C.V.
104,LA MANSION- RICHYCARLS  S.A. DE C.V.
105,WING'S AIR FORCE- FRANQUICIAS WING'S AIR FORCE  S. DE R.L. DE C.V.
106,ZAPATERIAS TANIA -ISABEL PATRICIA RODRIGUEZ AGUAYO
107,TIENDAS SORIANA S. A . DE C. V.
108,COPPEL SA DE CV
109,DULCERIA LA CHACHITA / HECTOR JAVIER DE ALBA PEREZ
110,MARISCOS EL MELON-JORGE ALBERTO RODRIGUEZ GOMEZ
111,CENTRO LLANTERO NACOZARI  S. A. DE C. V.
112,EL MUELLE SEA FOOD BAR- SOMOS LOS QUE ESTAMOS S.A. DE C.V.
113,RESTAURANTE AUGUSTOïS S.A. DE C.V.
114,TIENDAS CHEDRAUI  S. A. DE C. V.
115,MERENDERO SAN MARCOS - ROSENDO DE ANDA TERAN
116,NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.
117,DPORTENIS- COMERCIAL DPORTENIS  S.A. DE C.V.
118,INNOVA SPORT- INNOVA SPORT  S.A. DE C.V.
119,DEL SOL- GRUPO COMERCIAL CONTROL  S.A. DE C.V.
120,OFFICE DEPOT DE MEXICO  S.A. DE C.V.
121,SUSHITO - JUAN FERNANDO OROZCO CARDONA
122,CAFEZZITO - CAFEZZITO AGUASCALIENTES S.A. DE C.V.
123,PIZZAS LAS CUADRADAS - COMERCIALIZADORA DEL CENTRO S.A. DE C.V.
124,SANBORN HERMANOS  S.  A.
125,AUTOZONE DE MEXICO S. DE R.L. DE C.V.
126,COMPONENTES ELECTRONICOS DE AGUASCALIENTES  S. A. DE C. V.
127,COMPRA Y VENTA DE ORO Y PLATA- GUADALUPE ALEJANDRA ROMO AGUIRRE
128,JOYERIA GELY - MARIA AUXILIO CHAVEZ MURILLO
129,JOYERIA GELY - MARIA AUXILIO CHAVEZ MURILLO
130,JOYAS NERI - MARIA GUADALUPE NERI SANTOS
131,JOYAS NERI - MARIA GUADALUPE NERI SANTOS
132,FERRETERIA LA GLORIA S. DE R. L. DE C.V.
133,FERRETERIA HIPODROMO S DE RL DE CV
134,DISTRIBUIDORA EL FLORIDO  S.A DE C.V.
135,SUPER DAX LOS ENCINOS
136,FARMACIAS ROMA
137,AUTOZONE DE MEXICO S. DE R.L. DE C.V.
138,FIX FERRETERIAS
139,DULCERIA YANET S. DE R.L. DE C.V.
140,MERCADO EL AGUAJE
141,PAPELERIA Y MISCELANEA MARA
142,FARMACIAS DEL AHORRO
143,BAREZZITO DE LA FRONTERA S.A. DE C.V.
144,BAREZZITO DE LA FRONTERA S.A. DE C.V.
145,WALDOïS DOLAR MART DE MEXICO S  DE R.L. DE C.V.
146,WALDOïS DOLAR MART DE MEXICO S  DE R.L. DE C.V.
147,DULCERIA EL MOLINO
148,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.
149,MOTEL VIA
150,SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.
151,SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.
152,MOTEL VILLA DORADA
153,MOTEL VILLA DORADA
154,MOTEL ENSUEÑO
155,MOTEL ENSUEÑO
156,MOTEL BALANDRA
157,MOTEL SCALA
158,FARMACIA GUSHER S.A. DE C.V.
159,FARMACIA GUSHER  S.A. DE C.V.
160,REYES SALON CANTINA TJ
161,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.
162,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.
163,PESCADERIA LAS PLAYAS
164,ABARROTES Y CARNICERIA JORGE
165,MERCADO Y CARNICERIA EL MAIKY
166,MERCADO Y CARNICERIA EL MAIKY
167,MERCADO EMILIA # 1
168,MERCADO EMILIA # 1
169,MERCADO DIAZ
170,MERCADO DIAZ
171,MERCADO BENYS Y/O RODRIGUEZ VALENCIA BENITO
172,SUSHI FACTORY S.A. DE C.V.
173,MERCADO MINERVA II
174,BODEGA AURRERA QUINTAS DEL REFUGIO
175,SEXY ROSA BOUTIQUE
176,SEXY ROSA BOUTIQUE
177,TIENDAS SORIANA S.A. DE C.V. SUCURSAL GERANEOS
178,TIENDAS SORIANA S.A. DE C.V. SUCURSAL GERANEOS
179,EMPRESAS MARIA LUISA S. DE R.L. DE C.V.
180,TIENDAS SORIANA  S.A. DE C.V. ( SUCURSAL FLORIDO)
181,CALIMAX SANCHEZ TABOADA
182,CALIMAX SANCHEZ TABOADA
183,CASA LEY  S.A DE C.V.
184,CASA LEY  S.A DE C.V.
185,BODEGA AURRERA UNIDAD  DELICIAS
186,SMART & FINAL SUCURSAL 521
187,BODEGA AURRERA UNIDAD EL  AGUILA
188,CALIMAX CETYS
189,CALIMAX CETYS
190,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.
191,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.
192,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.
193,CASA LEY S.A. DE C.V.
194,CALIMAX SAN QUINTIN
195,RESTAURANT MISION SANTA ISABEL
196,TIENDAS SORIANA  S.A. DE C.V.
197,TIENDAS SORIANA  S.A. DE C.V.
198,MERCADO V Y M
199,CARNE MART SUCURSAL TECATE
200,LA CENTRAL DE SODA
201,MERCADO ALFER
202,CIRCULO K VALLE LAS PALMAS
203,PUERTO NUEVO HOTEL Y VILLAS  Y/O DESARROLLOS EDD S.A. DE C.V.
204,ITALIANNIS
205,COSTCO DE MEXICO S.A. DE C.V.
206,SPORTS FAN
207,LOB FOOTWEAR  S.A. DE C.V.
208,JACAïS TEQUILERIA Y TAPAS
209,JACAïS TEQUILERIA Y TAPAS
210,BODEGON ROSALES
211,DISTRIBUIDORA EL CHARAL
212,RAMTONIO DULCERIA
213,MERCADO Y CARNICERIA AL COSTO
214,BOUTIQUE LA ROPA
215,ZAPATERIA 3 HERMANOS Y/O TIRIOZA S.A DE C.V.
216,ZAPATERIA ESTRELLA NIÑOS
217,DULCERIA EL COMPADRE
218,DULCERIA ADILENE
219,DULCERIA PENINSULAR
220,DULCERIA EL COMPADRE
221,DULCERIA EL CHATO
222,DULCERIA AYALA
223,ALIMENTOS FINOS AILED  S. DE R.L. DE C.V.
224,SUPER CARNICERIA Y FRUTERIA EL LIMOSIN
225,MERCADO SAUCEDO
226,DISTRIBUIDORA EL RORRO
227,MINI MARKET NAVSON
228,MERCADO BRISMA  S.A.
229,MERCADO  Y CARNICERIA REFORMA
230,MERCADO LA VILLITA Y/O SILVIA GONZALEZ
231,PAMPAS RESTAURANTE DO BRASIL
232,RESULTA & RESALTA
233,PAPELERIA Y DULCERIA JUVERA
234,SUPER DULCES
235,RAMTONIO DULCERIAS
236,SKANDALOS BOUTIQUE
237,DULCERIA ARCOIRIS
238,FRUTERIA Y DULCERIA HUICHO
239,DULCERIA DON TIMO
240,CABANNA
241,RESTAURANT EL RODEO
242,FONDA ARGENTINA S.A. DE C.V.
243,APPLEBEEïS ROSARITO
244,DULCERIA DON MAX
245,SKANDALOS BOUTIQUE
246,OK ACCESORIES
247,AUTOSERVICIO EL ANDARIEGO
248,MERCADO SAN SEBASTIAN
249,ABARROTES Y CARNICERIA LAS GUERITAS
250,TORTILLERIA MORA
251,AUTO SERVICIO OJEDA
252,MERCADO LAS GRANJAS
253,ABARROTES JARDIN 2
254,FARMACIAS GUSHER
255,MERCADO GARZAS
256,ABARROTES PAOLA
257,ABARROTES CACHANILLA
258,IMPORTADORA Y DISTRIBUIDORA LA CANASTA S. DE R.L. DE C.V.
259,MERCADO CASABLANCA
260,MERCADO VISTA MAR
261,MERCADO EL AHORRO
262,MERCADO HECTORS
263,CARNICERIA CASTILLO
264,CARNICERIA LOMAS
265,MINIMERCADO Y CARNICERIA LA ESCONDIDA
266,HIGH LIFE DE TIJUANA  S.A. DE C.V.
267,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.
268,COSTCO DE MEXICO S.A. DE C.V.
269,MERCADO LA ESMERALDA
270,CARNICERIA Y FRUTERIA MI TIJUANA
271,SUPERMERCADO EL DORADO
272,COMERDCIALIZADORA KIN
273,ABARROTES LESLY
274,ABARROTES VILLA DEL REAL
275,MERCADO 5 HERMANOS S.A. DE C.V.
276,DULCERIA ARCOIRIS
277,MERCADO LAS GRANJAS
278,TATIANAïS CURIOS
279,CURIOS LA MINA DE TAXCO
280,ANDROID STORE COMMUNICATIONS
281,RULEïS  PLACE
282,CURIOS RUBENS
283,MEGA DULCES
