id,Producto,Tienda,Estado,Incumplimiento
0,MUÑECOS,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,AGUASCALIENTES,0
1,ROPA CABALLERO,C&A DE MEXICO S. DE R.L.,AGUASCALIENTES,0
2,BRANDY,ASFEIXAS  S.A. DE C.V.,AGUASCALIENTES,0
3,BRANDY,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,AGUASCALIENTES,0
4,BRANDY,MOTEL LUA- COMPAÑIA HOTELERA PESCADORES  S.A. DE C.V.,AGUASCALIENTES,0
5,BRANDY,MOTEL PEDRA- PEDRA  S.A. DE C.V.,AGUASCALIENTES,0
6,ZAPATOS,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,AGUASCALIENTES,0
7,ROPA,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,AGUASCALIENTES,0
8,RON,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,AGUASCALIENTES,0
9,TEQUILA,MOTEL LOS ARCOS S.A. DE C.V.,AGUASCALIENTES,0
10,BRANDY,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,AGUASCALIENTES,0
11,BRANDY,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,AGUASCALIENTES,0
12,BRANDY,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,AGUASCALIENTES,0
13,CERVEZA,VIRREY BUFFETS S.A. DE C.V.,AGUASCALIENTES,0
14,TEQUILA,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,0
15,MEZCAL,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,0
16,BRANDY,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,0
17,TEQUILA,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,0
18,MEZCAL,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,0
19,BRANDY,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,0
20,BEBIDAS,CADENA COMERCIAL OXXO  S. A. DE C.V.,AGUASCALIENTES,0
21,SOPA DE PASTA,CADENA COMERCIAL OXXO  S. A. DE C.V.,AGUASCALIENTES,0
22,GELATINAS,FARMACIA GUADALAJARA  S. A. DE C. V.,AGUASCALIENTES,0
23,PRODUCTO LACTEO COMBINADO,FARMACIA GUADALAJARA  S. A. DE C. V.,AGUASCALIENTES,0
24,ATUN,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,AGUASCALIENTES,0
25,VELADORAS  Y CERAS,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,AGUASCALIENTES,0
26,FRIJOLES,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,AGUASCALIENTES,0
27,ATUN,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,AGUASCALIENTES,0
